author_fans_bin_center,mean_shap_value
49363.395415472776,-0.4148180931291935
303803.22580645164,-0.04335372991918121
536314.6666666666,0.39149402120820403
754159.4594594594,0.532811205297806
988515.7894736842,0.5180869793597193
1268181.8181818181,0.5292406860291852
1470000.0,0.49163539290579505
1660000.0,0.5487889359887922
1840000.0,0.4968379984216299
2127272.727272727,0.503239177908205
2350000.0,0.46908165777465916
2540000.0,0.5815959409489297
2733333.3333333335,0.4277974075979243
3000000.0,0.5981861114959853
3183333.3333333335,0.5411720204605565
3475000.0000000005,0.3040974687726703
3700000.0,0.4636445519258268
3866666.6666666665,0.5466404902748764
4150000.0,0.6607029686262831
