hour,mean_shap_value
-1.9026925101390622,0.0062324543205371195
-1.7638661875803037,0.004688414291252711
-1.6250398650215452,0.02173933734490891
-1.4862135424627867,0.0005292102362644592
-1.3473872199040282,-0.014013603226415363
-1.2085608973452697,0.019949184076394885
-1.0697345747865112,-0.015330863973358647
-0.9309082522277528,0.02171864598207841
-0.7920819296689943,0.01961957632861514
-0.6532556071102358,0.05332279311704704
-0.5144292845514773,0.03808935451106855
-0.37560296199271886,-0.13324902338738967
-0.23677663943396038,-0.1621941384121173
-0.09795031687520189,-0.14927223912341733
0.0,4.5269366688607785e-07
0.0380010449045583,0.0
0.04087600568355658,-0.15846272556092836
0.044866379013920786,0.0
0.049306982650592836,0.0
0.05116532129646719,0.0
0.0525988905866132,0.0
0.06190870832176217,0.0
0.06499182891347798,0.0
0.06503601158312917,0.0
0.06649804349760009,0.0
0.07450985275301863,0.0
0.08045448471198662,0.0
0.09498494255584859,0.0
0.09947746009719673,-9.763513691723346e-05
0.10553713325672609,0.0
0.11254198547666365,0.0
0.11270875140109532,0.0
0.1473967308965267,0.0
0.17970232824231505,-0.282890198544077
0.2000330894147009,-0.007067325506359339
0.23793851962784443,-8.420955389738084e-05
0.3185286508010735,-0.27218614779560396
0.457354973359832,-0.056951517161125176
0.5961812959185905,0.06004738270051478
0.735007618477349,0.061943886711467375
0.8738339410361075,0.09684225390404563
1.0126602635948658,0.0957644756423013
1.1514865861536243,0.10671862696855178
1.2903129087123828,0.09835590474445396
